affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
Centre for Aerospace and Security Studies (CASS) and Centre for Aerospace & Security Studies ⣊SS),Centre for Aerospace and Security Studies (CASS),Centre for Aerospace & Security Studies ⣊SS),97,,,
"Shiv Nadar University, School of Management and Entrepreneurship and Pace University - Lubin School of Business","Shiv Nadar University, School of Management and Entrepreneurship",Pace University - Lubin School of Business,97,,,
University of Zurich and University of Vienna - Accounting and Control,University of Zurich,University of Vienna - Accounting and Control,97,,,
"Samuel Talk Lee Professor of Urban and Real Estate Sustainability, Faculty Director of MIT Center for Real Estate and Department of Economics, Oklahoma State University","Samuel Talk Lee Professor of Urban and Real Estate Sustainability, Faculty Director of MIT Center for Real Estate","Department of Economics, Oklahoma State University",97,,,
St. Mary's College of California and Government of the United States of America - Graduate School of Business and Public Policy,St. Mary's College of California,Government of the United States of America - Graduate School of Business and Public Policy,97,,,
Sanford Center for Financial Planning and Wellness and Western Michigan University,Sanford Center for Financial Planning and Wellness,Western Michigan University,97,,,
"University of Patras, Cultural Heritage and New Technologies Department, Students and University of Patras","University of Patras, Cultural Heritage and New Technologies Department, Students",University of Patras,97,,,
Korea Advanced Institute of Science and Technology (KAIST) and Hongik University,Korea Advanced Institute of Science and Technology (KAIST),Hongik University,97,,,
"Oxford International College, Indore and Acropolis Faculty of Management and Research","Oxford International College, Indore",Acropolis Faculty of Management and Research,97,,,
"Oakland University - Department of Accounting and Finance and University of North Texas - Department of Finance, Insurance Real Estate and Law",Oakland University - Department of Accounting and Finance,"University of North Texas - Department of Finance, Insurance Real Estate and Law",97,,,
Catholic University of Portugal (UCP) - Catolica Lisbon School of Business and Economics and University of Minho - School of Economics and Management,Catholic University of Portugal (UCP) - Catolica Lisbon School of Business and Economics,University of Minho - School of Economics and Management,97,,,
"Wageningen University and Research, Law Group and Polish Institute for Human Rights and Business","Wageningen University and Research, Law Group",Polish Institute for Human Rights and Business,97,,,
Faculty of Economics and Political Science and University of Orleans - Laboratoire d'économie d'Orléans,Faculty of Economics and Political Science,University of Orleans - Laboratoire d'économie d'Orléans,97,,,
Institute of Social and Economic Change (ISEC) and Institute for Social and Economic Change,Institute of Social and Economic Change (ISEC),Institute for Social and Economic Change,97,,,
Bharathiar School of Management and Enterpreneurship Development and Bharathiar School of Management and Enterpreneurship Development,Bharathiar School of Management and Enterpreneurship Development,Bharathiar School of Management and Enterpreneurship Development,97,,,
"Rutgers Business School - Newark and New Brunswick and University of Sussex - School of Business, Management and Economics",Rutgers Business School - Newark and New Brunswick,"University of Sussex - School of Business, Management and Economics",97,,,
"Temple University - Department of Statistics, Operations, and Data Science and Fox School of Business, Temple University","Temple University - Department of Statistics, Operations, and Data Science","Fox School of Business, Temple University",97,,,
"University of Waterloo - University of Waterloo, Faculty of Arts, School of Accounting and Finance, Students and Wilfrid Laurier University - School of Business & Economics","University of Waterloo - University of Waterloo, Faculty of Arts, School of Accounting and Finance, Students",Wilfrid Laurier University - School of Business & Economics,97,,,
Eastern Illinois University - Lumpkin College of Business and Technology and McMaster University - Michael G. DeGroote School of Business,Eastern Illinois University - Lumpkin College of Business and Technology,McMaster University - Michael G. DeGroote School of Business,97,,,
"Global Economic Dynamics and the Biosphere, Royal Swedish Academy of Sciences and University of Oslo - Faculty of Law","Global Economic Dynamics and the Biosphere, Royal Swedish Academy of Sciences",University of Oslo - Faculty of Law,97,,,
"IESEG School of Management (LEM-CNRS), Department of Economics and Quantitative Methods, ABC economics and NERA Economic Consulting","IESEG School of Management (LEM-CNRS), Department of Economics and Quantitative Methods, ABC economics",NERA Economic Consulting,97,,,
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Center of Competence and Analysis of OECD Standards and Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Center of Competence and Analysis of OECD Standards,Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Center of Competence and Analysis of OECD Standards,Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Center of Competence and Analysis of OECD Standards,97,,,
